,NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES                                                              
27,Ocurrió en el desempeño de su trabajo,1,N,ocurr_trab,ocurrio_trabajo,"1,2,8,9                                                               "
28,Sitio de ocurrencia de la lesión,2,N,lugar_ocur,lugar_ocurrencia,"0..9,88                                                               "
29,Condición de necropsia,1,N,necropsia,necropsia,"1,2,9                                                                 "
30,Condición de atención médica,1,N,asist_medi,asistencia_medica,"1,2,9                                                                 "
31,Sitio de ocurrencia de la defunción,2,N,sitio_ocur,sitio_ocurrencia,"1..12,99                                                                 "
32,Persona que certificó la defunción,1,N,cond_cert,certificante,"1..5,8,9                                                               "
33,Nacionalidad del (la) fallecido (a),1,N,nacionalid,nacionalidad,"1,2,9                                                                  "
34,Afiliación a los servicios de salud (derechohabiencia) del (la) fallecido (a),2,N,derechohab,derechohabiencia,"1..9,99                                                                 "
35,Condición de embarazo,1,N,embarazo,condicion_embarazo,"1..5,8,9                                                                "
36,Causas relacionadas con el embarazo,1,N,rel_emba,relacion_con_embarazo,"1,2,8,9                                                                  "
37,Hora de la defunción,2,N,horas,hora,"0..23,99                                                               "
38,Minuto de la defunción,2,N,minutos,minuto,"0..59,99                                                               "
39,Causas detalladas CIE (capítulo),2,N,capitulo,capitulo_grupo,"1..18,20,22"
40,Causas detalladas CIE (grupo),2,N,grupo,capitulo_grupo,1..35
41,Lista de tabulación 1 para mortalidad de la CIE,3,C,lista1,lista1,"001..103,903"
42,Lista mexicana de enfermedades (grupo),3,C,gr_lismex,grupo_lista_mexicana,"01..48,E49..E59"
43,Condición de violencia familiar,1,N,vio_fami,violencia_familiar,"1,2,8,9                                                              "
44,Área urbana-rural de residencia habitual del (la) fallecido (a),1,N,area_ur,area_urbana_rural,"1,2,9                                                                 "
45,Edad (agrupada) del (la) fallecido (a),2,C,edad_agru,edad_agrupada,"01..30	"
46,Complicaron el embarazo,1,N,complicaro,complicaron_embarazo,"1,2,8,9                                                                 "
47,Día de certificación,2,N,dia_cert,dia,"1..31,99                                                                "
48,Mes de certificación,2,N,mes_cert,mes,"1..12,99                                                               "
49,Año de certificación,4,N,anio_cert,año,"Año de estadística menos 1, Año de estadística                                              "
50,Defunciones maternas totales,4,C,maternas,causa_defuncion,"A34X,F53,M830, causas que comienzan con O,B20..B24 y complicaron =1,C58X,D392,E230"
51,Condición de habla lengua indígena del (la) fallecido (a),1,N,lengua,lengua_indigena,"1,2,8,9                                                                 "
52,Condición de actividad económica del (la) fallecido (a),1,N,cond_act,condicion_actividad,"1,2,8,9                                                                 "
53,Parentesco del presunto agresor,2,N,par_agre,parentesco_agresor,"1..72,88,99                                                          "
54,Entidad de ocurrencia de la lesión,2,C,ent_ocules,entidad_municipio_localidad_2021,"01..35,88,99                                                            "
55,Municipio o alcaldía de ocurrencia de la lesión,3,C,mun_ocules,entidad_municipio_localidad_2021,"001..570,888,999                                                       "
56,Localidad de ocurrencia de la lesión,4,C,loc_ocules,entidad_municipio_localidad_2021,"0001..6999,777,8888,9999                                                  "
57,Defunciones para calcular la razón de la mortalidad materna,1,N,razon_m,razon_materna,"1	"
58,Distritos de registro de Oaxaca,3,N,dis_re_oax,entidad_municipio_localidad_2021,"901..930,999"
